Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
NULC,736,0,0.00,0,0.00,37.67,736,0
BAUG,731,0,0.00,0,0.00,34.75,731,0
TTAI,711,0,0.00,0,0.00,27.94,711,0
TOKE,710,0,0.00,0,0.00,5.59,710,0
ATMP,703,0,0.00,0,0.00,21.94,703,0
DUSA,703,0,0.00,0,0.00,33.70,703,0
XBJA,699,0,0.00,0,0.00,25.57,699,0
FSEP,690,0,0.00,0,0.00,38.93,690,0
OEUR,687,0,0.00,0,0.00,27.54,687,0
XVV,680,0,0.00,0,0.00,34.84,680,0
DFEB,661,0,0.00,0,0.00,36.53,661,0
JBBB,644,0,0.00,0,0.00,47.69,644,0
DFNL,631,0,0.00,0,0.00,28.50,631,0
ARKZ,619,0,0.00,0,0.00,25.77,619,0
GSID,608,0,0.00,0,0.00,51.30,608,0
MOTG,607,0,0.00,0,0.00,33.44,507,100
DJAN,600,0,0.00,0,0.00,34.00,600,0
SMAY,597,0,0.00,0,0.00,20.61,597,0
NANC,594,0,0.00,0,0.00,29.00,594,0
FDEV,592,0,0.00,0,0.00,25.74,592,0
UJUL,582,0,0.00,0,0.00,29.41,582,0
DMAY,579,0,0.00,0,0.00,35.37,579,0
TYA,579,0,0.00,0,0.00,13.18,479,100
HYBL,562,0,0.00,0,0.00,27.81,462,100
FUNL,556,0,0.00,0,0.00,35.01,556,0
GSST,554,0,0.00,0,0.00,50.10,554,0
CAOS,544,0,0.00,0,0.00,82.83,544,0
FRNW,528,0,0.00,0,0.00,15.45,528,0
XTJA,528,0,0.00,0,0.00,23.97,528,0
IGLD,525,0,0.00,0,0.00,19.05,525,0
DWLD,521,0,0.00,0,0.00,28.22,521,0
RPHS,521,0,0.00,0,0.00,9.09,521,0
LEAD,518,0,0.00,0,0.00,58.48,518,0
DALT,508,0,0.00,0,0.00,8.55,508,0
MRGR,503,0,0.00,0,0.00,40.06,503,0
ROMO,501,0,0.00,0,0.00,25.88,501,0
DJUN,500,0,0.00,0,0.00,36.82,500,0
EALT,500,0,0.00,0,0.00,26.87,500,0
PSCJ,500,0,0.00,0,0.00,22.46,500,0
PTEU,500,0,0.00,0,0.00,24.48,500,0
KJAN,487,0,0.00,0,0.00,30.80,487,0
XDAT,487,0,0.00,0,0.00,20.63,487,0
FBCV,478,0,0.00,0,0.00,28.13,478,0
DUBS,459,0,0.00,0,0.00,26.03,459,0
RESD,458,0,0.00,0,0.00,28.26,458,0
CSM,457,0,0.00,0,0.00,52.13,420,37
FIBR,450,0,0.00,0,0.00,84.61,450,0
XNOV,450,0,0.00,0,0.00,30.85,450,0
HYHG,440,0,0.00,0,0.00,62.27,440,0
KJUL,437,0,0.00,0,0.00,25.39,437,0
KAPR,430,0,0.00,0,0.00,27.01,430,0
XOCT,428,0,0.00,0,0.00,31.39,428,0
IQM,426,0,0.00,0,0.00,47.74,426,0
IGRO,425,0,0.00,0,0.00,61.86,425,0
BAPR,414,0,0.00,0,0.00,36.94,414,0
BRLN,414,0,0.00,0,0.00,52.65,414,0
AFIF,407,0,0.00,0,0.00,8.97,407,0
EFNL,402,0,0.00,0,0.00,34.31,402,0
GAPR,402,0,0.00,0,0.00,32.05,402,0
BBLB,400,0,0.00,0,0.00,87.57,400,0
NUDV,400,0,0.00,0,0.00,24.31,400,0
PSMO,400,0,0.00,0,0.00,24.63,400,0
EFUT,393,0,0.00,0,0.00,19.44,193,200
NJAN,388,0,0.00,0,0.00,41.43,388,0
FLQS,385,0,0.00,0,0.00,35.39,385,0
BJAN,380,0,0.00,0,0.00,39.02,380,0
TBJL,362,0,0.00,0,0.00,19.09,362,0
IGHG,354,0,0.00,0,0.00,75.98,354,0
FPAG,352,0,0.00,0,0.00,25.10,352,0
LKOR,325,0,0.00,0,0.00,42.32,325,0
BMAR,320,0,0.00,0,0.00,38.36,320,0
YMAR,317,0,0.00,0,0.00,21.05,317,0
EAOM,314,0,0.00,0,0.00,25.47,314,0
BSEP,312,0,0.00,0,0.00,35.45,312,0
AESR,303,0,0.00,0,0.00,13.06,303,0
ARKY,302,0,0.00,0,0.00,25.32,302,0
HAUS,286,0,0.00,0,0.00,15.16,286,0
PFEB,274,0,0.00,0,0.00,31.84,274,0
TSJA,272,0,0.00,0,0.00,27.90,272,0
GDMA,268,0,0.00,0,0.00,30.60,268,0
VFQY,262,0,0.00,0,0.00,117.83,262,0
APRQ,250,0,0.00,0,0.00,24.85,250,0
ZECP,243,0,0.00,0,0.00,25.46,243,0
UMAR,230,0,0.00,0,0.00,31.06,230,0
BLDG,222,0,0.00,0,0.00,23.52,222,0
NVDQ,222,0,0.00,0,0.00,23.55,222,0
QPFF,213,0,0.00,0,0.00,35.28,213,0
GAUG,207,0,0.00,0,0.00,30.74,207,0
IVVM,206,0,0.00,0,0.00,26.23,206,0
IPDP,205,0,0.00,0,0.00,16.23,205,0
SJIM,205,0,0.00,0,0.00,22.18,107,98
ADFI,204,0,0.00,0,0.00,8.41,204,0
HSUN,203,0,0.00,0,0.00,33.13,203,0
QVOY,203,0,0.00,0,0.00,27.65,203,0
ROYA,203,0,0.00,0,0.00,25.28,203,0
FFOG,202,0,0.00,0,0.00,27.52,202,0
BEMB,201,0,0.00,0,0.00,50.52,201,0
GHEE,201,0,0.00,0,0.00,25.40,201,0
IBMR,200,0,0.00,0,0.00,25.01,200,0
PSCQ,200,0,0.00,0,0.00,23.53,200,0
TOLL,200,0,0.00,0,0.00,27.17,200,0
XDOC,200,0,0.00,0,0.00,26.52,0,200
DAPR,191,0,0.00,0,0.00,31.63,191,0
HCRB,189,0,0.00,0,0.00,34.03,189,0
XDJL,189,0,0.00,0,0.00,28.96,189,0
AAPY,188,0,0.00,0,0.00,26.61,188,0
FCPI,182,0,0.00,0,0.00,33.80,182,0
BNOV,178,0,0.00,0,0.00,34.04,178,0
UFEB,168,0,0.00,0,0.00,28.90,168,0
FEBZ,166,0,0.00,0,0.00,31.53,166,0
MSMR,163,0,0.00,0,0.00,24.47,163,0
IBHI,160,0,0.00,0,0.00,22.43,160,0
ESEB,155,0,0.00,0,0.00,16.50,155,0
FLTN,151,0,0.00,0,0.00,19.97,151,0
BCHP,145,0,0.00,0,0.00,27.41,145,0
SEIM,143,0,0.00,0,0.00,26.58,143,0
ARKD,138,0,0.00,0,0.00,27.70,14,124
RMIF,138,0,0.00,0,0.00,24.95,138,0
GSEP,137,0,0.00,0,0.00,30.83,137,0
BUSA,124,0,0.00,0,0.00,26.02,124,0
DFNV,123,0,0.00,0,0.00,26.38,123,0
RDFI,123,0,0.00,0,0.00,21.87,123,0
RESE,121,0,0.00,0,0.00,28.25,121,0
